FrameCnt,Datetime,latitude,longitude,rel_alt,abs_alt,iso,shutter,fnum,ev,color_md,focal_len,ct
1,2024-06-14 20:15:47.042,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5746
2,2024-06-14 20:15:47.060,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5746
3,2024-06-14 20:15:47.076,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5746
4,2024-06-14 20:15:47.094,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5746
5,2024-06-14 20:15:47.109,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5745
6,2024-06-14 20:15:47.128,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5745
7,2024-06-14 20:15:47.144,36.173614,-75.757335,5.300,23.057,100,1/320.0,1.7,0,,24.00,5745
8,2024-06-14 20:15:47.161,36.173614,-75.757335,5.600,23.357,100,1/320.0,1.7,0,,24.00,5745
9,2024-06-14 20:15:47.176,36.173614,-75.757335,5.600,23.357,100,1/320.0,1.7,0,,24.00,5745
10,2024-06-14 20:15:47.195,36.173614,-75.757335,5.600,23.357,100,1/320.0,1.7,0,,24.00,5745
11,2024-06-14 20:15:47.209,36.173614,-75.757335,5.600,23.357,100,1/320.0,1.7,0,,24.00,5744
12,2024-06-14 20:15:47.228,36.173614,-75.757335,5.600,23.357,100,1/320.0,1.7,0,,24.00,5744
13,2024-06-14 20:15:47.243,36.173614,-75.757335,5.800,23.557,100,1/320.0,1.7,0,,24.00,5744
14,2024-06-14 20:15:47.259,36.173614,-75.757335,5.800,23.557,100,1/320.0,1.7,0,,24.00,5744
15,2024-06-14 20:15:47.276,36.173614,-75.757335,5.800,23.557,100,1/320.0,1.7,0,,24.00,5744
16,2024-06-14 20:15:47.295,36.173614,-75.757335,5.800,23.557,100,1/320.0,1.7,0,,24.00,5744
17,2024-06-14 20:15:47.309,36.173614,-75.757335,5.800,23.557,100,1/320.0,1.7,0,,24.00,5744
18,2024-06-14 20:15:47.329,36.173614,-75.757335,5.800,23.557,100,1/320.0,1.7,0,,24.00,5744
19,2024-06-14 20:15:47.343,36.173614,-75.757335,6.000,23.757,100,1/320.0,1.7,0,,24.00,5744
20,2024-06-14 20:15:47.362,36.173614,-75.757335,6.000,23.757,100,1/320.0,1.7,0,,24.00,5744
21,2024-06-14 20:15:47.376,36.173614,-75.757335,6.000,23.757,100,1/320.0,1.7,0,,24.00,5744
22,2024-06-14 20:15:47.394,36.173614,-75.757335,6.000,23.757,100,1/320.0,1.7,0,,24.00,5744
23,2024-06-14 20:15:47.409,36.173614,-75.757335,6.000,23.757,100,1/320.0,1.7,0,,24.00,5744
24,2024-06-14 20:15:47.427,36.173614,-75.757335,6.000,23.757,100,1/320.0,1.7,0,,24.00,5744
25,2024-06-14 20:15:47.443,36.173614,-75.757335,6.200,23.957,100,1/320.0,1.7,0,,24.00,5744
26,2024-06-14 20:15:47.459,36.173614,-75.757335,6.200,23.957,100,1/320.0,1.7,0,,24.00,5744
27,2024-06-14 20:15:47.476,36.173614,-75.757335,6.200,23.957,100,1/320.0,1.7,0,,24.00,5744
28,2024-06-14 20:15:47.495,36.173614,-75.757335,6.200,23.957,100,1/320.0,1.7,0,,24.00,5744
29,2024-06-14 20:15:47.509,36.173614,-75.757335,6.200,23.957,100,1/320.0,1.7,0,,24.00,5744
30,2024-06-14 20:15:47.526,36.173614,-75.757335,6.200,23.957,100,1/320.0,1.7,0,,24.00,5744
31,2024-06-14 20:15:47.543,36.173614,-75.757335,6.300,24.057,100,1/320.0,1.7,0,,24.00,5744
32,2024-06-14 20:15:47.562,36.173614,-75.757335,6.300,24.057,100,1/320.0,1.7,0,,24.00,5744
33,2024-06-14 20:15:47.576,36.173614,-75.757335,6.300,24.057,100,1/320.0,1.7,0,,24.00,5744
34,2024-06-14 20:15:47.595,36.173614,-75.757335,6.300,24.057,100,1/320.0,1.7,0,,24.00,5744
35,2024-06-14 20:15:47.609,36.173614,-75.757335,6.300,24.057,100,1/320.0,1.7,0,,24.00,5744
36,2024-06-14 20:15:47.629,36.173614,-75.757335,6.300,24.057,100,1/320.0,1.7,0,,24.00,5744
37,2024-06-14 20:15:47.643,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
38,2024-06-14 20:15:47.662,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
39,2024-06-14 20:15:47.676,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
40,2024-06-14 20:15:47.695,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
41,2024-06-14 20:15:47.710,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
42,2024-06-14 20:15:47.729,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
43,2024-06-14 20:15:47.743,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
44,2024-06-14 20:15:47.762,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
45,2024-06-14 20:15:47.776,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
46,2024-06-14 20:15:47.796,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
47,2024-06-14 20:15:47.810,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
48,2024-06-14 20:15:47.829,36.173615,-75.757336,6.400,24.157,100,1/320.0,1.7,0,,24.00,5744
49,2024-06-14 20:15:47.843,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
50,2024-06-14 20:15:47.861,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
51,2024-06-14 20:15:47.877,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
52,2024-06-14 20:15:47.896,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
53,2024-06-14 20:15:47.910,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
54,2024-06-14 20:15:47.928,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
55,2024-06-14 20:15:47.943,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
56,2024-06-14 20:15:47.962,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
57,2024-06-14 20:15:47.977,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
58,2024-06-14 20:15:47.996,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
59,2024-06-14 20:15:48.010,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
60,2024-06-14 20:15:48.027,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
61,2024-06-14 20:15:48.043,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
62,2024-06-14 20:15:48.062,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
63,2024-06-14 20:15:48.077,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
64,2024-06-14 20:15:48.094,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
65,2024-06-14 20:15:48.110,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
66,2024-06-14 20:15:48.128,36.173615,-75.757336,6.500,24.257,100,1/320.0,1.7,0,,24.00,5744
